street name,abbreviation,abbreviation,abbreviation,abbreviation,abbreviation,abbreviation,abbreviation
Alley,Allee,Ally,Aly,,,,
Annex,Anex,Annx,Anx,,,,
Arcade,Arc,,,,,,
Avenida,,,,,,,
Avenue,Ave,Av,Aven,Avenu,Avn,Avnue,
Bayou,Bayoo,Byu,,,,,
Beach,Bch,,,,,,
Bend,Bnd,,,,,,
Bluff,Blf,Bluf,,,,,
Bluffs,Blfs,,,,,,
Bottom,Bot,Bottom,Btm,,,,
Boulevard,Boul,Boulv,Bld,Blv,Blvd,,
Branch,Br,Brnch,,,,,
Bridge,Brg,Brdge,,,,,
Brook,Brk,,,,,,
Brooks,Brks,,,,,,
Burg,Bg,,,,,,
Burgs,Bgs,,,,,,
Bypass,Bypa,Bypas,Byps,Byp,,,
Calle,,,,,,,
Camino,,,,,,,
Camp,Cmp,Cp,,,,,
Canyon,Canyn,Cnyn,Cyn,,,,
Cape,Cpe,,,,,,
Causeway,Cswy,Causwa,,,,,
Center,Cen,Cent,Centr,Centre,Cnter,Cntr,Ctr
Centers,Ctrs,,,,,,
Circle,Circ,Circl,Crcl,Crcle,Cir,,
Circles,Cirs,,,,,,
Cliff,Clf,,,,,,
Cliffs,Clfs,,,,,,
Club,Clb,,,,,,
Common,Cmn,,,,,,
Commons,Cmns,,,,,,
Corner,Cor,,,,,,
Corners,Cors,,,,,,
Course,Crse,,,,,,
Court,Ctrs,,,,,,
Courts,Cts,,,,,,
Cove,Cv,,,,,,
Coves,Cvs,,,,,,
Creek,Crk,,,,,,
Crescent,Cres,Crsnt,Crsent,,,,
Crest,Crst,,,,,,
Crossing,Xing,Crssng,,,,,
Crossroad,Xrd,,,,,,
Curve,Curv,,,,,,
Dale,Dl,,,,,,
Dam,Dm,,,,,,
Divide,Dv,Dvd,Div,,,,
Drive,Dr,Drv,Driv,,,,
Drives,Drs,,,,,,
East,E,,,,,,
Estate,Est,,,,,,
Estates,Ests,,,,,,
Expressway,Expy,Exp,Expr,Express,Expw,Expwy,
Extension,Ext,Extn,Extnsn,,,,
Extensions,Exts,,,,,,
Fall,,,,,,,
Falls,Fls,,,,,,
Ferry,Frry,Fry,,,,,
Field,Fld,,,,,,
Fields,Flds,,,,,,
Flat,Flt,,,,,,
Flats,Flts,,,,,,
Ford,Frd,,,,,,
Fords,Frds,,,,,,
Forest,Frst,,,,,,
Forge,Forg,Frg,,,,,
Forges,Frgs,,,,,,
Fork,Frk,,,,,,
Forks,Frks,,,,,,
Fort,Ft,Frt,,,,,
Freeway,Fwy,Frwy,Frway,Freewy,,,
Garden,Gdn,Grdn,Grden,Gardn,,,
Gardens,Gdns,,,,,,
Gateway,Gtwy,Gtway,Gatway,Gatewy,,,
Glen,Gln,,,,,,
Glens,Glns,,,,,,
Green,Grn,,,,,,
Greens,Grns,,,,,,
Grove,Grv,Grov,,,,,
Groves,Grvs,,,,,,
Harbor,Hbr,Hrbor,Harbr,Harb,,,
Harbors,Hbrs,,,,,,
Haven,Gvn,,,,,,
Heights,Hts,,,,,,
Highway,Hwy,Hway,Hiwy,Hiway,Highwy,,
Hill,Hl,,,,,,
Hills,Hls,,,,,,
Hollow,Hllw,Holw,Holws,,,,
Inlet,Inlt,,,,,,
Island,Is,,,,,,
Islands,Iss,,,,,,
Isle,,,,,,,
Junction,Jct,Juncton,Junctn,Jctn,Jction,,
Junctions,Jcts,,,,,,
Key,Ky,,,,,,
Keys,Kys,,,,,,
Knoll,Knl,Knol,,,,,
Knolls,Knls,,,,,,
Lake,Lk,,,,,,
Lakes,Lks,,,,,,
Land,,,,,,,
Landing,Lndg,Lndg,,,,,
Lane,Ln,La,,,,,
Light,Lgt,,,,,,
Lights,Lgts,,,,,,
Loaf,Lf,,,,,,
Lock,Lck,,,,,,
Locks,Lcks,,,,,,
Lodge,Ldg,Lodg,Ldge,,,,
Loop,Lp,,,,,,
Mall,,,,,,,
Manor,Mnr,,,,,,
Manors,Mnrs,,,,,,
Meadow,Mdw,,,,,,
Meadows,Mdws,Medows,,,,,
Mews,,,,,,,
Mill,Ml,,,,,,
Mills,Mls,,,,,,
Mission,Msn,,,,,,
Motorway,Mtwy,,,,,,
Mount,Mt,,,,,,
Mountain,Mtn,,,,,,
Mountains,Mtns,,,,,,
Neck,Nck,,,,,,
North,N,,,,,,
Orchard,Orch,Orchrd,,,,,
Oval,Ovl,,,,,,
Overlook,Ovlk,,,,,,
Overpass,Opas,,,,,,
Park,Prk,,,,,,
Parks,Park,,,,,,
Parkway,Pkwy,Pky,Pkyway,Parkwy,,,
Parkways,Pkwys,,,,,,
Pass,,,,,,,
Passage,Psge,,,,,,
Path,,,,,,,
Pike,Pk,,,,,,
Pine,Pne,,,,,,
Pines,Pnes,,,,,,
Place,Pl,,,,,,
Plain,Pln,,,,,,
Plains,Plns,,,,,,
Plaza,Plz,Plza,,,,,
Point,Pt,,,,,,
Points,Pts,,,,,,
Port,Prt,,,,,,
Ports,Prts,,,,,,
Prairie,Pr,Prr,,,,,
Radial,Rad,Radl,Radiel,,,,
Ramp,Rmp,,,,,,
Ranch,Rnch,Rnchs,,,,,
Rapid,Rpd,,,,,,
Rapids,Rpds,,,,,,
Rest,Rst,,,,,,
Ridge,Rdg,Rdge,,,,,
Ridges,Rdgs,,,,,,
River,Riv,Rvr,Rivr,,,,
Road,Rd,,,,,,
Roads,Rds,,,,,,
Route,Rte,,,,,,
Row,,,,,,,
Rue,,,,,,,
Run,,,,,,,
Shoal,Shl,,,,,,
Shoals,Shls,,,,,,
Shore,Shr,,,,,,
Shores,Shrs,,,,,,
Skyway,Skwy,,,,,,
South,S,,,,,,
Spring,Spg,Spng,Sprng,,,,
Springs,Spgs,,,,,,
Spur,,,,,,,
Square,Sq,Sqr,Squ,Sqre,,,
Squares,Sqs,,,,,,
Station,Stn,Sta,Statn,,,,
Strasse,,,,,,,
Stravenue,Strav,Straven,Stravn,Strvn,Strvnue,Stra,
Stream,Streme,Strm,,,,,
Street,St,Strt,Str,,,,
Streets,Sts,,,,,,
Summit,Smt,Sumit,Sumitt,,,,
Terrace,Ter,Terr,,,,,
Throughway,Trwy,,,,,,
Trace,Trce,,,,,,
Track,Trk,Trks,Trak,,,,
Trafficway,Trfy,,,,,,
Trail,Trl,,,,,,
Trailer,Trlr,,,,,,
Tunnel,Tunl,,,,,,
Turnpike,Tpke,Trnpk,Turnpk,,,,
Underpass,Upas,,,,,,
Union,Un,,,,,,
Unions,Uns,,,,,,
Valley,Vly,Blly,Vally,,,,
Valleys,Vlys,,,,,,
Via,,,,,,,
Viaduct,Via,Vdct,Viadct,,,,
View,Vw,,,,,,
Views,Vws,,,,,,
Village,Vlg,Vill,Villg,Villag,,,
Villages,Vlgs,,,,,,
Ville,Vl,,,,,,
Vista,Vis,Vsta,Vst,Vist,,,
Walk,,,,,,,
Wall,,,,,,,
Way,Wy,,,,,,
Well,Wl,,,,,,
Wells,Wls,,,,,,
West,W,,,,,,